candidate_id,rank,score,reasoning
CAND_0011687,1,0.6325,Senior NLP Engineer with 7.8 yrs; 8 AI core skills; response rate 0.89.
CAND_0065195,46,0.5731,Search Engineer with 5.1 yrs; 6 AI core skills; response rate 0.80.
CAND_0043860,47,0.5723,Junior ML Engineer with 6.1 yrs; 6 AI core skills; response rate 0.81.
CAND_0010283,48,0.5720,AI Specialist with 5.3 yrs; 5 AI core skills; response rate 0.55.
CAND_0005538,49,0.5712,Senior AI Engineer with 5.9 yrs; 6 AI core skills; response rate 0.81.
CAND_0016163,50,0.5706,Applied ML Engineer with 6.7 yrs; 8 AI core skills; response rate 0.72.
CAND_0093912,51,0.5700,Senior Data Scientist with 5.3 yrs; 3 AI core skills; response rate 0.66.
CAND_0069905,52,0.5698,Applied ML Engineer with 6.6 yrs; 6 AI core skills; response rate 0.78.
CAND_0046064,53,0.5687,Senior NLP Engineer with 8.9 yrs; 6 AI core skills; response rate 0.78.
CAND_0007009,54,0.5685,Recommendation Systems Engineer with 7.9 yrs; 6 AI core skills; response rate 0.62.
CAND_0052744,55,0.5683,Senior Software Engineer (ML) with 4.9 yrs; 3 AI core skills; response rate 0.79.
CAND_0050876,56,0.5679,Applied ML Engineer with 6.0 yrs; 8 AI core skills; response rate 0.67.
CAND_0086154,57,0.5668,Data Scientist with 6.8 yrs; 3 AI core skills; response rate 0.90.
CAND_0042029,58,0.5663,Senior Data Scientist with 6.5 yrs; 8 AI core skills; response rate 0.67.
CAND_0030784,59,0.5660,Data Scientist with 4.4 yrs; 5 AI core skills; response rate 0.90.
CAND_0010257,60,0.5654,Senior Data Scientist with 6.5 yrs; 5 AI core skills; response rate 0.72.
CAND_0024878,61,0.5644,AI Specialist with 5.7 yrs; 5 AI core skills; response rate 0.84.
CAND_0054100,62,0.5638,Junior ML Engineer with 6.0 yrs; 6 AI core skills; response rate 0.79.
CAND_0005260,63,0.5637,Senior NLP Engineer with 5.2 yrs; 9 AI core skills; response rate 0.86.
CAND_0064904,64,0.5633,AI Engineer with 4.9 yrs; 10 AI core skills; response rate 0.78.
CAND_0080766,65,0.5633,Staff Machine Learning Engineer with 8.8 yrs; 10 AI core skills; response rate 0.66.
CAND_0006567,66,0.5632,Senior AI Engineer with 7.9 yrs; 7 AI core skills; response rate 0.79.
CAND_0068932,67,0.5625,ML Engineer with 5.2 yrs; 3 AI core skills; response rate 0.82.
CAND_0040887,68,0.5621,Machine Learning Engineer with 4.7 yrs; 3 AI core skills; response rate 0.84.
CAND_0039838,69,0.5615,Recommendation Systems Engineer with 4.9 yrs; 7 AI core skills; response rate 0.80.
CAND_0030348,70,0.5611,Machine Learning Engineer with 4.5 yrs; 8 AI core skills; response rate 0.54.
CAND_0036863,71,0.5611,Senior Data Scientist with 4.3 yrs; 2 AI core skills; response rate 0.46.
CAND_0016659,72,0.5607,ML Engineer with 4.4 yrs; 6 AI core skills; response rate 0.89.
CAND_0070525,73,0.5603,Senior Software Engineer (ML) with 5.4 yrs; 3 AI core skills; response rate 0.93.
CAND_0080465,74,0.5602,ML Engineer with 4.2 yrs; 1 AI core skills; response rate 0.83.
CAND_0039383,75,0.5601,Applied ML Engineer with 7.1 yrs; 6 AI core skills; response rate 0.61.
CAND_0027691,76,0.5591,NLP Engineer with 6.5 yrs; 6 AI core skills; response rate 0.68.
CAND_0097176,77,0.5579,ML Engineer with 5.9 yrs; 2 AI core skills; response rate 0.76.
CAND_0003791,78,0.5578,ML Engineer with 6.6 yrs; 7 AI core skills; response rate 0.66.
CAND_0077498,79,0.5578,Senior Software Engineer (ML) with 5.4 yrs; 3 AI core skills; response rate 0.89.
CAND_0049540,80,0.5577,ML Engineer with 6.8 yrs; 4 AI core skills; response rate 0.86.
CAND_0036184,81,0.5576,Recommendation Systems Engineer with 6.0 yrs; 9 AI core skills; response rate 0.90.
CAND_0099965,82,0.5570,Junior ML Engineer with 4.6 yrs; 3 AI core skills; response rate 0.88.
CAND_0049538,83,0.5565,Applied ML Engineer with 5.8 yrs; 7 AI core skills; response rate 0.72.
CAND_0093763,84,0.5561,Senior Software Engineer (ML) with 5.0 yrs; 7 AI core skills; response rate 0.92.
CAND_0014440,85,0.5556,Recommendation Systems Engineer with 6.4 yrs; 5 AI core skills; response rate 0.64.
CAND_0020991,86,0.5552,Junior ML Engineer with 4.9 yrs; 5 AI core skills; response rate 0.88.
CAND_0055960,87,0.5545,AI Specialist with 4.9 yrs; 3 AI core skills; response rate 0.89.
CAND_0055992,88,0.5542,AI Engineer with 16.9 yrs; 6 AI core skills; response rate 0.72.
CAND_0061257,89,0.5538,Staff Machine Learning Engineer with 8.0 yrs; 6 AI core skills; response rate 0.87.
CAND_0015057,90,0.5533,ML Engineer with 4.6 yrs; 4 AI core skills; response rate 0.85.
CAND_0050454,91,0.5526,AI Engineer with 6.8 yrs; 6 AI core skills; response rate 0.77.
CAND_0079064,92,0.5525,Senior Data Scientist with 5.2 yrs; 5 AI core skills; response rate 0.91.
CAND_0081480,93,0.5522,Computer Vision Engineer with 5.6 yrs; 4 AI core skills; response rate 0.85.
CAND_0026942,94,0.5521,Junior ML Engineer with 6.0 yrs; 3 AI core skills; response rate 0.84.
CAND_0073007,95,0.5521,AI Specialist with 5.8 yrs; 4 AI core skills; response rate 0.83.
CAND_0084819,96,0.5518,Search Engineer with 4.5 yrs; 8 AI core skills; response rate 0.74.
CAND_0024466,97,0.5516,Search Engineer with 5.2 yrs; 8 AI core skills; response rate 0.47.
CAND_0074342,98,0.5510,Data Scientist with 5.7 yrs; 3 AI core skills; response rate 0.76.
CAND_0042506,99,0.5508,Search Engineer with 4.2 yrs; 9 AI core skills; response rate 0.48.
CAND_0062247,100,0.5508,AI Engineer with 7.3 yrs; 5 AI core skills; response rate 0.78.
